INFO 2025-08-23 13:38:33,390 [main.py (startup)] BOT STARTED
INFO 2025-08-23 13:38:35,159 [main.py (shutdown)] BOT SHUTDOWN
INFO 2025-08-23 13:39:28,527 [main.py (startup)] BOT STARTED
INFO 2025-08-23 13:40:37,818 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER slash_commands_user_router CALLBACK start
INFO 2025-08-23 13:40:38,530 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:42:11,553 [main.py (shutdown)] BOT SHUTDOWN
INFO 2025-08-23 13:42:16,742 [main.py (startup)] BOT STARTED
INFO 2025-08-23 13:42:36,470 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER slash_commands_user_router CALLBACK start
INFO 2025-08-23 13:42:37,232 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:43:58,590 [main.py (shutdown)] BOT SHUTDOWN
INFO 2025-08-23 13:44:04,763 [main.py (startup)] BOT STARTED
INFO 2025-08-23 13:44:18,562 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER slash_commands_user_router CALLBACK start
INFO 2025-08-23 13:44:19,173 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:44:45,063 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER state_user_router CALLBACK login_state_code
INFO 2025-08-23 13:44:45,293 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:44:52,807 [main.py (shutdown)] BOT SHUTDOWN
INFO 2025-08-23 13:49:06,774 [main.py (startup)] BOT STARTED
INFO 2025-08-23 13:49:23,918 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER slash_commands_user_router CALLBACK start
INFO 2025-08-23 13:49:24,629 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:49:54,372 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER state_user_router CALLBACK login_state_code
INFO 2025-08-23 13:49:54,642 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:50:16,519 [main.py (shutdown)] BOT SHUTDOWN
INFO 2025-08-23 13:50:22,019 [main.py (startup)] BOT STARTED
INFO 2025-08-23 13:51:09,796 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER slash_commands_user_router CALLBACK start
INFO 2025-08-23 13:51:10,328 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:51:38,986 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER state_user_router CALLBACK login_state_code
INFO 2025-08-23 13:51:39,338 [user.py (__call__)] New user in bot 2054556183 shayZi12345
INFO 2025-08-23 13:51:57,301 [main.py (shutdown)] BOT SHUTDOWN
INFO 2025-08-23 13:52:02,493 [main.py (startup)] BOT STARTED
INFO 2025-08-23 13:52:07,552 [log.py (__call__)] USER 2054556183~shayZi12345 ROUTER slash_commands_user_router CALLBACK start
