ERROR 2025-09-07 12:47:35,413 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:10:20,397 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:14:51,919 [user.py (get_all_users_notifies)] Get all users notifies error 500 Произошла ошибка. Повторите попытку позже.
ERROR 2025-09-07 23:20:55,535 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:22:07,424 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:24:48,900 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:24:53,706 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:26:31,903 [user.py (get_user_portfolio)] Get user portfolio error 500 Произошла ошибка. Повторите попытку позже.
ERROR 2025-09-07 23:27:17,859 [user.py (get_user_portfolio)] Get user portfolio error 500 Произошла ошибка. Повторите попытку позже.
ERROR 2025-09-07 23:33:21,054 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:37:15,844 [user.py (get_all_users_notifies)] Get all users notifies error 500 Произошла ошибка. Повторите попытку позже.
ERROR 2025-09-07 23:42:16,027 [user.py (get_all_users_notifies)] Get all users notifies error 500 Произошла ошибка. Повторите попытку позже.
ERROR 2025-09-07 23:43:46,640 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:46:19,148 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:46:22,380 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:47:00,486 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:49:54,844 [user.py (get_user_portfolio)] Get user portfolio error 500 Ошибка на стороне сервера.
ERROR 2025-09-07 23:52:16,248 [user.py (get_all_users_notifies)] Get all users notifies error 500 Произошла ошибка. Повторите попытку позже.
